Timestamp,1. Gender,2. Age Group,3. Year of Study,4. How often do you feel emotionally overwhelmed due to academics or personal issues?,5. How often do you engage in deep conversations about your feelings? ,6. Whom do you have deep conversations with during overwhelming times?,7. Have you ever felt hesitant to share your feelings with someone (even close ones),8. Have you ever had a conversation with an AI for sharing your feelings or emotional confusions?,"In the upcoming questions it is required to rate the intensity levels of your emotions so for that please refer this scale.

Scale 1–5
1 = Mild
2 = Slight / Low
3 = Moderate
4 = Strong / Intense  
5 = Extremely overwhelming  ","9. When you feel stressed, how intense is it usually?  ","10. When you feel stressed and anxious about any upcoming projects/ exams/ presentations or any other person reasons, what kind of response helps most? 
(Based on the Intensity of the Emotion)","11. When you feel irritated or angry, how intense is it usually? ","12. When you are angry or frustrated, what works better?  ","13. When you feel sad or low, how intense is it usually? ","14.  When you feel sad, what helps you the most?  ","15.  When you feel lonely, what would you prefer?   ",16. Rate your Excitement Level,"17. When you feel happy or proud of something, what kind of response feels meaningful?  ",  18. Would you prefer an AI to:  ,"19. In any of the feelings down situation, what comforts you more?","20. When emotions feel intense, do you prefer:",What situations or factors most commonly trigger strong emotions for you?  ,"What would you want in your personal AI Companion to have the perfect emotional conversation, what would it do (or avoid doing)?  "
3/6/2026 8:58:55,Female,20-25,1st,Sometimes,Often,Family,In some matters,Yes,,4,"Calm Reassurance, Step by Step Guidance and Planning to calmly reach your goal, Suggesstion of happy songs or any other entertainments to distract from this feelings",3,"Logical Reasoning, Write down or redirect your energy into another creative activity",3,"Someone who just listens, Being distracted with funny entertainment",Entertainment,4,"Someone acknowledging the effort behind the achievement, Just listening and letting you talk about it, A reflective conversation about how you grew","Ask reflective questions, Suggest activities (entertainment, walks, journaling)",Hearing a parental tone,"More detailed guidance and conversations, Softer tone",,
3/6/2026 9:04:42,Female,20-25,4th,Sometimes,Sometimes,Family,No,Yes,,4,Motivational Push,4,Distraction,3,"Someone who just listens, Coping up advice, Being distracted with funny entertainment, Get confidence that things will improve","Friendly casual conversation, Entertainment",3,"A warm celebration of the moment, Someone acknowledging the effort behind the achievement, Casual excitement and hype, A reflective conversation about how you grew",Ask reflective questions,Hearing a parental tone,Encouragement to pause/breathe,Being ignored or taken for granted,Work as a motivational support or just place to dump all weird thoughts.
3/6/2026 9:15:57,Female,20-25,4th,Very Frequently,Often,Family,Yes,Yes,1,4,"Calm Reassurance, Step by Step Guidance and Planning to calmly reach your goal, Light jokes to reduce the worry, Suggesstion of happy songs or any other entertainments to distract from this feelings, Slow Music/Melodies to release the emotions",4,"Venting Out, Distraction",5,"Someone who just listens, Being distracted with funny entertainment, Resolving /Working on the problem and Reassurance","A warm, nurturing tone, Going Out, Entertainment, Talking to my loved ones",1,"A warm celebration of the moment, Someone acknowledging the effort behind the achievement, Casual excitement and hype, A reflective conversation about how you grew","Mostly listen and validate feelings, Ask reflective questions",Hearing a calm voice,"Slower responses, More detailed guidance and conversations, Softer tone",Exams and insults,Avoid giving the repeated grounding solutions and just be able to help analyze deeper instead while helping to get reassured in the end after guiding me through the problem and talking like a friend giving human like solution whuch is applicable in real life.
3/6/2026 9:46:39,Female,20-25,3rd,Often,Sometimes,Friends,Yes,No,3,4,"Motivational Push, Slow Music/Melodies to release the emotions",5,Distraction,4,"Someone who just listens, Inspirational Quotes",Entertainment,5,"Encouragement to aim even higher, Someone acknowledging the effort behind the achievement",Give advice immediately,"Hearing a calm voice, Hearing a cheerful voice",Softer tone,,
3/6/2026 9:57:57,Male,20-25,Doesn't Apply,Sometimes,Rarely,No one,In some matters,No,,4,"Step by Step Guidance and Planning to calmly reach your goal, Slow Music/Melodies to release the emotions",4,Logical Reasoning,5,"Listening to emotional songs, Get confidence that things will improve",Entertainment,3,Someone acknowledging the effort behind the achievement,"Give advice immediately, Suggest activities (entertainment, walks, journaling)",Text-Only Support,More detailed guidance and conversations,,
3/6/2026 10:41:37,Male,20-25,4th,Very Frequently,Sometimes,"Friends, Online Platforms",In some matters,Yes,5,4,"Calm Reassurance, Step by Step Guidance and Planning to calmly reach your goal, Motivational Push, Light jokes to reduce the worry, Suggesstion of happy songs or any other entertainments to distract from this feelings, Slow Music/Melodies to release the emotions, Idk",3,Exercise or do any physical activity to release the energy,3,"Someone who just listens, Coping up advice","Friendly casual conversation, Going Out, Entertainment",5,Idk,"Mostly listen and validate feelings, Ask reflective questions, Suggest activities (entertainment, walks, journaling)","Hearing a calm voice, Hearing a cheerful voice, Hearing a friendly tone, Idk","More detailed guidance and conversations, Softer tone","Not sure,maybe if you someone says he is friend or whatever relationship they should act like one.","Till now I've used AI but as I've used I've realised it's not good , it isolates you with jt, AI is designed to be with you and help you only ,it doesn't understand other sides so social skills gets low and person becomes close minded to other person"
3/6/2026 11:21:33,Male,20-25,Doesn't Apply,Very Frequently,Sometimes,Friends,Yes,No,,3,"Calm Reassurance, Motivational Push",4,Distraction,2,"Inspirational Quotes, Being distracted with funny entertainment",Friendly casual conversation,4,"A calm, mature appreciation","Suggest activities (entertainment, walks, journaling)",Hearing a friendly tone,Encouragement to pause/breathe,"Emotions like anger mostly get triggered in situations where people take undue advantage of their authority or not respecting somebody's time On the other hand, happiness is triggered by acts of genuine kindness and acts of empathy.","AI has to be realistic. Rather than saying things whixh might be soothing at once, it can be a bit harsh and say things ehixh are bitter truths. Yes there should be balance of empathy with being realistic. "
3/6/2026 11:39:05,Female,20-25,3rd,Sometimes,Often,"Friends, Family",No,Yes,,3,Step by Step Guidance and Planning to calmly reach your goal,3,Exercise or do any physical activity to release the energy,3,Someone who just listens,Friendly casual conversation,4,Casual excitement and hype,Give advice immediately,Hearing a friendly tone,More detailed guidance and conversations,Things going opposite my way ,Just listen and guide me 
3/6/2026 13:11:36,Female,20-25,4th,Often,Sometimes,"Friends, No one",Yes,Yes,,4,"Calm Reassurance, Step by Step Guidance and Planning to calmly reach your goal",3,Write down or redirect your energy into another creative activity,3,Being distracted with funny entertainment,"A warm, nurturing tone",5,"A warm celebration of the moment, Someone acknowledging the effort behind the achievement",Mostly listen and validate feelings,Hearing a calm voice,More detailed guidance and conversations,,
3/6/2026 22:07:51,Male,20-25,4th,Rarely,Rarely,Friends,No,No,,3,"Calm Reassurance, Step by Step Guidance and Planning to calmly reach your goal, Slow Music/Melodies to release the emotions",5,"Write down or redirect your energy into another creative activity, Exercise or do any physical activity to release the energy",2,Get confidence that things will improve,Entertainment,4,"A calm, mature appreciation","Give advice immediately, Suggest activities (entertainment, walks, journaling)",Hearing a calm voice,More detailed guidance and conversations,,
3/6/2026 22:20:47,Female,17-19,2nd,Often,Sometimes,"Friends, Family",Yes,No,4,5,Step by Step Guidance and Planning to calmly reach your goal,4,"Venting Out, Distraction",4,"Someone who just listens, Get confidence that things will improve",Friendly casual conversation,3,"Someone acknowledging the effort behind the achievement, Casual excitement and hype, A calm, mature appreciation, Just listening and letting you talk about it",Give advice immediately,Hearing a friendly tone,More detailed guidance and conversations,,To listen and rather than giving advice understand the feelings.
3/7/2026 9:24:09,Male,20-25,Doesn't Apply,Rarely,Sometimes,Online Platforms,In some matters,Yes,Moderate ,3,Step by Step Guidance and Planning to calmly reach your goal,5,Write down or redirect your energy into another creative activity,3,Get confidence that things will improve,Entertainment,5,"A calm, mature appreciation",Ask reflective questions,Hearing a calm voice,More detailed guidance and conversations,"Strong emotions are triggered in me when I don’t see success on my YouTube channel even after putting in a lot of effort. I also feel strong emotions when I think about helping my family, achieving my dreams, connecting with God, and earning enough money to help poor and helpless people.","I would want my personal AI companion to listen to me carefully, motivate me, and guide me toward my goals like YouTube success, earning money, and helping people. It should keep me positive and understand my ideas. I would also want it to not judge me and avoid encouraging me to take the wrong path."
3/7/2026 9:24:48,Female,20-25,4th,Rarely,Sometimes,Friends,No,Yes,,1,Step by Step Guidance and Planning to calmly reach your goal,5,Eat ice cream,1,Being distracted with funny entertainment,Reading Book,5,Encouragement to aim even higher,Give advice immediately,Sleeping,Encouragement to pause/breathe,,
3/7/2026 9:47:41,Male,20-25,4th,Very Frequently,Rarely,Friends,Yes,No,,5,"Step by Step Guidance and Planning to calmly reach your goal, Motivational Push, Light jokes to reduce the worry, Suggesstion of happy songs or any other entertainments to distract from this feelings, Slow Music/Melodies to release the emotions",4,"Logical Reasoning, Venting Out, Distraction, Write down or redirect your energy into another creative activity, Exercise or do any physical activity to release the energy",5,"Someone who just listens, Being distracted with funny entertainment, Listening to emotional songs","A warm, nurturing tone, Friendly casual conversation, Going Out, Entertainment",3,"A warm celebration of the moment, Someone acknowledging the effort behind the achievement, Casual excitement and hype, Just listening and letting you talk about it, A reflective conversation about how you grew","Mostly listen and validate feelings, Give advice immediately, Ask reflective questions, Suggest activities (entertainment, walks, journaling)","Hearing a calm voice, Hearing a friendly tone","Slower responses, More detailed guidance and conversations, Softer tone",Prefer not to answer ,Prefer not to answer 
3/7/2026 11:29:44,Male,20-25,4th,Often,Rarely,"Family, No one",Yes,No,,4,"Calm Reassurance, Light jokes to reduce the worry, Slow Music/Melodies to release the emotions",5,"Logical Reasoning, Distraction",1,"Being distracted with funny entertainment, Listening to emotional songs, Get confidence that things will improve","Friendly casual conversation, Going Out, Entertainment",5,"A warm celebration of the moment, Someone acknowledging the effort behind the achievement, Just listening and letting you talk about it","Give advice immediately, Ask reflective questions, Suggest activities (entertainment, walks, journaling)",Hearing a friendly tone,"More detailed guidance and conversations, Encouragement to pause/breathe",Deadline anxiety,Just say that it all will be okay
3/7/2026 14:02:58,Male,20-25,4th,Sometimes,Often,No one,In some matters,No,3,5,"Calm Reassurance, ",3,Exercise or do any physical activity to release the energy,2,Someone who just listens,"A warm, nurturing tone",5,Encouragement to aim even higher,"Give advice immediately, Ask reflective questions, Suggest activities (entertainment, walks, journaling)",Hearing a friendly tone,Softer tone,"Hitting rock bottom, be it opportunity wise or performance wise. ",Fusion of mentorship and friendship. 
3/7/2026 20:19:24,Male,20-25,4th,Sometimes,Sometimes,Family,In some matters,Yes,3,2,"Calm Reassurance, Motivational Push, Light jokes to reduce the worry, Suggesstion of happy songs or any other entertainments to distract from this feelings, Slow Music/Melodies to release the emotions",4,"Venting Out, Distraction",3,"Someone who just listens, Being distracted with funny entertainment",Going Out,5,"Someone acknowledging the effort behind the achievement, Just listening and letting you talk about it","Suggest activities (entertainment, walks, journaling)","Hearing a parental tone, Hearing a friendly tone",Encouragement to pause/breathe,,
3/8/2026 2:21:20,Male,20-25,4th,Often,Rarely,Friends,Yes,Yes,4,4,Slow Music/Melodies to release the emotions,5,Exercise or do any physical activity to release the energy,5,Inspirational Quotes,"Going Out, Entertainment",5,"Someone acknowledging the effort behind the achievement, Casual excitement and hype, A calm, mature appreciation",Mostly listen and validate feelings,Hearing a cheerful voice,More detailed guidance and conversations,,
3/12/2026 0:07:12,Female,20-25,4th,Often,Often,Friends,Yes,Yes,,3,"Step by Step Guidance and Planning to calmly reach your goal, Light jokes to reduce the worry",4,"Venting Out, Exercise or do any physical activity to release the energy",3,"Someone who just listens, Being distracted with funny entertainment, Get confidence that things will improve","Friendly casual conversation, Going Out",4,"A warm celebration of the moment, Someone acknowledging the effort behind the achievement, A reflective conversation about how you grew",Ask reflective questions,"Hearing a cheerful voice, Hearing a friendly tone",More detailed guidance and conversations,,
3/13/2026 20:50:42,Male,20-25,4th,Sometimes,Rarely,Friends,No,No,2,3,Step by Step Guidance and Planning to calmly reach your goal,,Logical Reasoning,3,Physical activities ,Going Out,4,Someone acknowledging the effort behind the achievement,"Suggest activities (entertainment, walks, journaling)",Hearing a friendly tone,More detailed guidance and conversations,,
3/14/2026 11:10:46,Male,17-19,4th,Sometimes,Rarely,No one,Yes,Yes,,3,"Calm Reassurance, I ",5,"Venting Out, Exercise or do any physical activity to release the energy",3,Get confidence that things will improve,"Going Out, Entertainment",4,Someone acknowledging the effort behind the achievement,Give advice immediately,Hearing a friendly tone,More detailed guidance and conversations,Past,Emotions
3/15/2026 0:15:07,Female,20-25,4th,Often,Sometimes,Friends,No,Yes,,4,Light jokes to reduce the worry,2,"Venting Out, Distraction",3,"Someone who just listens, Being distracted with funny entertainment","Friendly casual conversation, Going Out",5,"A warm celebration of the moment, Encouragement to aim even higher, Someone acknowledging the effort behind the achievement, A reflective conversation about how you grew",Ask reflective questions,"Hearing a cheerful voice, Hearing a friendly tone",More detailed guidance and conversations,Repeat mistakes ,.
3/15/2026 14:27:30,Female,17-19,1st,Often,Sometimes,"Friends, Online Platforms",In some matters,Yes,,4,"Calm Reassurance, Light jokes to reduce the worry, Talking to my fav person!! ",5,"Venting Out, Venting out and dancing!! ",4,Someone who just listens,"Going Out, And listening songs that makes me dance!! ",4,"A warm celebration of the moment, Encouragement to aim even higher","Mostly listen and validate feelings, Give advice immediately","Hearing a calm voice, Hearing a friendly tone",Softer tone,Parents saying no to me and not getting what i want!!! ,
3/22/2026 0:27:41,Female,20-25,Doesn't Apply,Sometimes,Sometimes,"Friends, Family",Yes,No,,3,"Calm Reassurance, Step by Step Guidance and Planning to calmly reach your goal, Motivational Push",4,Venting Out,3,"Someone who just listens, Being distracted with funny entertainment, Get confidence that things will improve","A warm, nurturing tone, Friendly casual conversation, Going Out, Entertainment",4,"Someone acknowledging the effort behind the achievement, Casual excitement and hype, Just listening and letting you talk about it",Would not prefer,"Hearing a calm voice, Hearing a cheerful voice, Hearing a parental tone, Hearing a friendly tone","Encouragement to pause/breathe, Softer tone",,Nopee
3/22/2026 19:16:28,Female,20-25,3rd,Sometimes,Sometimes,Friends,In some matters,No,3,4,Calm Reassurance,4,"Venting Out, Distraction",4,"Someone who just listens, Coping up advice","Entertainment, art ",3,Just listening and letting you talk about it,"Suggest activities (entertainment, walks, journaling), to be environment friendly and sustainable","Hearing a friendly tone, art ",Encouragement to pause/breathe,anger ,to be environment friendly 
4/7/2026 11:59:41,Male,17-19,2nd,Often,Sometimes,"Friends, Family",No,Yes,,4,Slow Music/Melodies to release the emotions,5,"Venting Out, Write down or redirect your energy into another creative activity, Exercise or do any physical activity to release the energy",2,"Someone who just listens, Get confidence that things will improve","Friendly casual conversation, Going Out, Entertainment",4,"Encouragement to aim even higher, Someone acknowledging the effort behind the achievement, A calm, mature appreciation",Ask reflective questions,"Hearing a calm voice, Hearing a parental tone, Hearing a friendly tone",More detailed guidance and conversations,,
4/7/2026 12:01:25,Male,20-25,2nd,Sometimes,Sometimes,Friends,No,No,,1,"Calm Reassurance, ",1,Exercise or do any physical activity to release the energy,1,Get confidence that things will improve,Entertainment,4,Casual excitement and hype,Mostly listen and validate feelings,Hearing a friendly tone,More detailed guidance and conversations,,
4/7/2026 12:01:50,Male,20-25,2nd,Often,Sometimes,"Friends, Family",In some matters,No,3,3,"Calm Reassurance, Step by Step Guidance and Planning to calmly reach your goal, Suggesstion of happy songs or any other entertainments to distract from this feelings",5,Exercise or do any physical activity to release the energy,2,"Someone who just listens, Being distracted with funny entertainment, Listening to emotional songs, Get confidence that things will improve","Friendly casual conversation, Going Out, Entertainment",4,"A warm celebration of the moment, Casual excitement and hype, A calm, mature appreciation","Mostly listen and validate feelings, Ask reflective questions, Suggest activities (entertainment, walks, journaling)","Hearing a calm voice, Hearing a friendly tone",Slower responses,Being vulnerable,Just listen and slowly suggest changes and instead of validating all feelings be a bit logical
4/7/2026 12:02:39,Male,17-19,2nd,Rarely,Rarely,No one,No,No,0,1,Calm Reassurance,1,Logical Reasoning,1,Get confidence that things will improve,Entertainment,1,"A calm, mature appreciation",I don't ask AI these questions,Hearing a cheerful voice,Softer tone,na,na
4/7/2026 12:02:53,Male,17-19,2nd,Sometimes,Sometimes,"Friends, Family",Yes,No,,3,Step by Step Guidance and Planning to calmly reach your goal,3,"Venting Out, Distraction",3,"Someone who just listens, Inspirational Quotes","Friendly casual conversation, Going Out",4,"Casual excitement and hype, A calm, mature appreciation","Give advice immediately, Suggest activities (entertainment, walks, journaling)",Hearing a friendly tone,"Slower responses, More detailed guidance and conversations",.,.
4/7/2026 12:03:15,Female,17-19,2nd,Sometimes,Sometimes,Friends,In some matters,No,3,3,"Motivational Push, Light jokes to reduce the worry, Suggesstion of happy songs or any other entertainments to distract from this feelings",4,"Distraction, Write down or redirect your energy into another creative activity",3,"Someone who just listens, Being distracted with funny entertainment, Get confidence that things will improve","Friendly casual conversation, Going Out",4,"Casual excitement and hype, Just listening and letting you talk about it","Suggest activities (entertainment, walks, journaling)","Hearing a parental tone, Hearing a friendly tone",More detailed guidance and conversations,intense situation,avoid doing
4/7/2026 12:03:28,Female,17-19,2nd,Often,Sometimes,"Friends, Family",No,Yes,,5,"Calm Reassurance, Light jokes to reduce the worry",5,"Venting Out, Distraction",3,"Someone who just listens, Being distracted with funny entertainment, Get confidence that things will improve","Going Out, Entertainment",5,"A warm celebration of the moment, Someone acknowledging the effort behind the achievement","Mostly listen and validate feelings, Ask reflective questions, Suggest activities (entertainment, walks, journaling)","Hearing a calm voice, Hearing a friendly tone","Encouragement to pause/breathe, Softer tone",,
4/7/2026 12:03:39,Male,17-19,2nd,Rarely,Often,No one,Yes,No,0,1,Calm Reassurance,1,"Venting Out, Exercise or do any physical activity to release the energy",2,Inspirational Quotes,bcz im happy to be in lonliness,3,"Encouragement to aim even higher, A calm, mature appreciation",dont use ai,Hearing a calm voice,Slower responses,NA,NA
4/7/2026 12:04:29,Female,17-19,2nd,Sometimes,Rarely,Friends,In some matters,No,Sure buddy!,4,"Calm Reassurance, Step by Step Guidance and Planning to calmly reach your goal, Light jokes to reduce the worry, Slow Music/Melodies to release the emotions",4,"Logical Reasoning, Distraction, Write down or redirect your energy into another creative activity",3,"Someone who just listens, Being distracted with funny entertainment","A warm, nurturing tone",4,"A warm celebration of the moment, Someone acknowledging the effort behind the achievement, Just listening and letting you talk about it","Suggest activities (entertainment, walks, journaling)","Hearing a calm voice, Hearing a parental tone, Hearing a friendly tone","More detailed guidance and conversations, Softer tone",Someone lied to me.,I doon't prefer AI for such Companian.
4/7/2026 12:05:01,Female,20-25,2nd,Rarely,Sometimes,"Friends, Family",No,No,,2,Step by Step Guidance and Planning to calmly reach your goal,3,Staying Quite for a while,3,Someone who just listens,Going Out,5,"A warm celebration of the moment, Encouragement to aim even higher, Someone acknowledging the effort behind the achievement, A calm, mature appreciation, Just listening and letting you talk about it, A reflective conversation about how you grew",just for study purpose,"Hearing a calm voice, Hearing a parental tone, Hearing a friendly tone",Softer tone,Overwhelming situations and sad ,
4/7/2026 12:05:05,Female,17-19,2nd,Often,Sometimes,"Friends, Family",In some matters,No,OK👍 ,3,"Calm Reassurance, Step by Step Guidance and Planning to calmly reach your goal, Motivational Push, Suggesstion of happy songs or any other entertainments to distract from this feelings, Slow Music/Melodies to release the emotions",4,"Venting Out, Distraction",3,"Someone who just listens, Being distracted with funny entertainment, Listening to emotional songs","Friendly casual conversation, Going Out, Entertainment",3,"Someone acknowledging the effort behind the achievement, Casual excitement and hype, A calm, mature appreciation, Just listening and letting you talk about it","Mostly listen and validate feelings, Suggest activities (entertainment, walks, journaling)","Hearing a calm voice, Hearing a cheerful voice, Hearing a friendly tone","Encouragement to pause/breathe, Softer tone",Loneliness ,Just Listen 
4/7/2026 12:05:14,Female,17-19,2nd,Rarely,Sometimes,No one,No,No,3,3,"Calm Reassurance, Slow Music/Melodies to release the emotions",2,no,2,no,Going Out,2,"A calm, mature appreciation",no,Hearing a calm voice,Slower responses,no,nothing
4/7/2026 12:05:26,Male,17-19,2nd,Rarely,Rarely,No one,Yes,No,1,2,"Calm Reassurance, Step by Step Guidance and Planning to calmly reach your goal",2,"Logical Reasoning, Distraction",2,Being distracted with funny entertainment,Friendly casual conversation,3,"A warm celebration of the moment, Encouragement to aim even higher, Casual excitement and hype","Give advice immediately, Ask reflective questions, Suggest activities (entertainment, walks, journaling)",Hearing a parental tone,Slower responses,NA,NA
4/7/2026 12:05:26,Female,17-19,2nd,Often,Sometimes,No one,No,No,3,3,"Calm Reassurance, Step by Step Guidance and Planning to calmly reach your goal, Motivational Push, Slow Music/Melodies to release the emotions",3,Logical Reasoning,3,"Listening to emotional songs, Get confidence that things will improve","Friendly casual conversation, Going Out, Entertainment",3,"A calm, mature appreciation",Give advice immediately,"Hearing a calm voice, Text-Only Support","Slower responses, Softer tone",no,NO
4/7/2026 12:05:27,Male,17-19,2nd,Very Frequently,Sometimes,Friends,Yes,Yes,5,5,"Step by Step Guidance and Planning to calmly reach your goal, Suggesstion of happy songs or any other entertainments to distract from this feelings, Slow Music/Melodies to release the emotions",4,"Venting Out, Write down or redirect your energy into another creative activity",5,"Listening to emotional songs, Get confidence that things will improve","Friendly casual conversation, Going Out, Entertainment",5,"A calm, mature appreciation, Just listening and letting you talk about it, I like to listen my favorite songs.","Give advice immediately, Suggest activities (entertainment, walks, journaling)","Hearing a cheerful voice, Hearing a friendly tone","Encouragement to pause/breathe, Softer tone",Something about my study or academics.,I'd like it to help me throughout everyday life.
